Brinco_Pai;Brinco_Mae;Media_Pai;Media_Mae;Idade;Ordem_Lac;DEL;Brinco_Animal;Media_Prod;Classe
14101;13066;1.66;1.37;4;1;842;16039;1.27;3
14101;13066;1.66;1.37;6;2;350;16039;0.93;4
19078;13140;1.58;1.88;2;1;188;21012;1.79;3
19078;13140;1.58;1.88;3;2;188;21012;2.24;2
19078;13142;1.58;1.09;2;1;276;21016;0.86;4
19078;13142;1.58;1.09;3;2;185;21016;1.54;3
13362;13142;1.46;1.09;5;1;248;16018;1.52;3
13362;13142;1.46;1.09;6;2;266;16018;1.34;3
13362;13151;1.46;1.13;3;1;144;20051;2.14;2
13362;13151;1.46;1.13;4;2;190;20051;2.1;2
15009;13151;1.76;1.13;2;1;228;19028;1.86;3
15009;13151;1.76;1.13;4;2;209;19028;1.67;3
15009;13151;1.76;1.13;2;1;190;19029;2.75;2
15009;13151;1.76;1.13;3;2;297;19029;1.86;3
15009;13151;1.76;1.13;5;3;270;19029;1.33;3
14101;13341;1.66;1.3;3;1;271;19049;1.88;3
14101;13341;1.66;1.3;4;2;167;19049;1.8;3
14101;13341;1.66;1.3;5;3;166;19049;1.3;3
15009;13851;1.76;1.2;3;1;364;19021;1.45;3
15009;13851;1.76;1.2;5;2;457;19021;1.48;3
13825;13851;1.69;1.2;5;1;175;16313;2.3;2
13825;13851;1.69;1.2;6;2;176;16313;1.99;3
13825;13851;1.69;1.2;7;3;207;16313;1.64;3
13825;13851;1.69;1.2;7;4;20;16313;1.4;3
13825;13894;1.69;1.53;5;1;216;16317;1.38;3
14101;14003;1.66;1.23;5;1;775;15027;1.0;4
13362;14015;1.46;1.17;3;1;276;21058;1.28;3
15009;14015;1.76;1.17;3;1;364;19065;2.14;2
15009;14015;1.76;1.17;4;2;259;19065;2.32;2
15009;14015;1.76;1.17;3;1;348;19066;1.84;3
15009;14015;1.76;1.17;4;2;256;19066;1.69;3
15009;14015;1.76;1.17;5;3;255;19066;1.27;3
14101;14031;1.66;1.87;2;1;242;20062;1.57;3
14101;14031;1.66;1.87;3;2;203;20062;2.33;2
14101;14031;1.66;1.87;4;3;192;20062;1.72;3
14101;14031;1.66;1.87;3;1;272;20063;1.26;3
14101;14031;1.66;1.87;4;2;271;20063;1.8;3
14101;14031;1.66;1.87;3;1;415;19047;2.21;2
14101;14031;1.66;1.87;4;2;346;19047;2.71;2
14101;14031;1.66;1.87;5;3;115;19047;1.33;3
13362;14031;1.46;1.87;4;1;411;17005;1.99;3
13362;14031;1.46;1.87;5;2;281;17005;2.53;2
13362;14031;1.46;1.87;6;3;247;17005;2.83;2
13362;14031;1.46;1.87;7;4;66;17005;2.15;2
15009;14036;1.76;0.6;3;1;340;19099;1.54;3
15009;14036;1.76;0.6;3;2;31;19099;2.75;2
14101;14036;1.66;0.6;5;1;605;17004;0.98;4
13362;14072;1.46;1.7;3;1;361;19035;2.52;2
13362;14072;1.46;1.7;4;2;347;19035;3.49;1
13362;14072;1.46;1.7;5;3;112;19035;2.45;2
19078;14108;1.58;1.86;3;1;271;21108;1.9;3
15009;14108;1.76;1.86;3;1;422;19051;1.63;3
15009;14108;1.76;1.86;4;2;304;19051;2.05;2
15009;14108;1.76;1.86;5;3;98;19051;1.8;3
14101;14108;1.66;1.86;5;1;913;16008;1.53;3
10029;14131;1.31;0.62;4;1;183;17039;2.07;2
13825;14131;1.69;0.62;4;1;104;16055;1.85;3
13362;14136;1.46;1.38;3;1;275;21060;1.5;3
13362;14140;1.46;1.43;2;1;293;21038;1.65;3
13362;14140;1.46;1.43;3;2;187;21038;1.98;3
13362;14140;1.46;1.43;3;1;295;19059;1.2;3
13362;14140;1.46;1.43;4;2;174;19059;1.82;3
13362;15018;1.46;1.74;3;1;329;21052;1.03;3
13362;15020;1.46;2.08;3;1;414;19007;1.68;3
13362;15020;1.46;2.08;4;2;340;19007;2.75;2
13362;15020;1.46;2.08;5;3;119;19007;2.82;2
15009;15027;1.76;1.0;3;1;186;18004;2.54;2
15009;15027;1.76;1.0;4;2;321;18004;1.88;3
15009;15027;1.76;1.0;5;3;244;18004;1.57;3
15009;15027;1.76;1.0;6;4;119;18004;0.6;4
10029;15038;1.31;0.7;3;1;280;19075;0.59;4
10029;15038;1.31;0.7;4;2;148;19075;1.2;3
14101;15038;1.66;0.7;4;1;382;18020;1.63;3
14101;15038;1.66;0.7;5;2;345;18020;1.85;3
14101;15038;1.66;0.7;6;3;159;18020;1.47;3
15009;15046;1.76;1.32;3;1;343;19030;1.84;3
15009;15046;1.76;1.32;4;2;257;19030;1.24;3
15009;15046;1.76;1.32;4;3;30;19030;0.9;4
13362;15046;1.46;1.32;4;1;603;17053;1.98;3
14101;15047;1.66;0.66;3;1;158;18036;0.88;4
14101;15047;1.66;0.66;4;2;174;18036;0.79;4
14101;15047;1.66;0.66;4;3;120;18036;0.62;4
14101;15047;1.66;0.66;6;4;45;18036;0.9;4
14101;15179;1.66;2.58;3;1;261;19056;1.48;3
14101;15179;1.66;2.58;4;2;255;19056;2.41;2
14101;15179;1.66;2.58;5;3;103;19056;2.63;2
14101;15179;1.66;2.58;3;1;417;19057;1.66;3
14101;15179;1.66;2.58;4;2;257;19057;1.81;3
14101;15179;1.66;2.58;4;3;35;19057;2.2;2
14101;16004;1.66;0.82;3;1;292;20024;1.48;3
14101;16004;1.66;0.82;4;2;265;20024;1.53;3
13362;16008;1.46;1.53;3;1;428;18054;1.29;3
14101;16018;1.66;1.38;3;1;268;20004;1.12;3
14101;16018;1.66;1.38;3;2;24;20004;0.3;4
13362;16022;1.46;2.25;2;1;243;21003;1.59;3
13362;16022;1.46;2.25;3;2;267;21003;2.13;2
15009;16032;1.76;0.6;3;1;215;18009;3;2
