Brinco_Pai;Brinco_Mae;Media_Pai;Media_Mae;Idade;Ordem_Lac;DEL;Brinco_Animal;Prod_Leit
14101;13066;1.66;1.37;4;1;765;16039;1.5
14101;13066;1.66;1.37;4;1;842;16039;0.8
14101;13066;1.66;1.37;5;1;142;16039;1.5
14101;13066;1.66;1.37;5;2;185;16039;1.4
14101;13066;1.66;1.37;5;2;199;16039;1.0
14101;13066;1.66;1.37;5;2;231;16039;1.1
14101;13066;1.66;1.37;5;2;256;16039;0.8
14101;13066;1.66;1.37;6;2;297;16039;0.6
14101;13066;1.66;1.37;6;2;322;16039;0.5
14101;13066;1.66;1.37;6;2;350;16039;0.5
19078;13140;1.58;1.88;1;1;3;21012;1.6
19078;13140;1.58;1.88;1;1;30;21012;2.2
19078;13140;1.58;1.88;1;1;66;21012;2.2
19078;13140;1.58;1.88;1;1;97;21012;1.2
19078;13140;1.58;1.88;2;1;163;21012;1.8
19078;13140;1.58;1.88;2;1;188;21012;1.0
19078;13140;1.58;1.88;2;1;57;21012;2.5
19078;13140;1.58;1.88;2;2;88;21012;2.8
19078;13140;1.58;1.88;2;2;122;21012;2.5
19078;13140;1.58;1.88;3;2;169;21012;1.8
19078;13140;1.58;1.88;3;2;193;21012;1.6
19078;13142;1.58;1.09;1;1;1;21016;0.5
19078;13142;1.58;1.09;1;1;28;21016;1.4
19078;13142;1.58;1.09;1;1;64;21016;0.6
19078;13142;1.58;1.09;1;1;95;21016;0.7
19078;13142;1.58;1.09;2;1;161;21016;1.2
19078;13142;1.58;1.09;2;1;186;21016;0.4
19078;13142;1.58;1.09;2;1;276;21016;0.6
19078;13142;1.58;1.09;2;1;49;21016;1.5
19078;13142;1.58;1.09;2;2;80;21016;1.8
19078;13142;1.58;1.09;2;2;114;21016;1.5
19078;13142;1.58;1.09;3;2;161;21016;1.4
19078;13142;1.58;1.09;3;2;185;21016;1.5
13362;13142;1.46;1.09;4;1;82;16018;2.1
13362;13142;1.46;1.09;4;1;159;16018;1.1
13362;13142;1.46;1.09;5;1;198;16018;1.5
13362;13142;1.46;1.09;5;1;248;16018;1.2
13362;13142;1.46;1.09;5;1;8;16018;1.7
13362;13142;1.46;1.09;5;2;22;16018;1.8
13362;13142;1.46;1.09;5;2;54;16018;1.8
13362;13142;1.46;1.09;5;2;79;16018;1.7
13362;13142;1.46;1.09;6;2;120;16018;1.4
13362;13142;1.46;1.09;6;2;145;16018;1.4
13362;13142;1.46;1.09;6;2;173;16018;1.0
13362;13142;1.46;1.09;6;2;204;16018;1.1
13362;13142;1.46;1.09;6;2;234;16018;1.0
13362;13142;1.46;1.09;6;2;266;16018;0.5
13362;13151;1.46;1.13;2;1;22;20051;2.5
13362;13151;1.46;1.13;2;1;53;20051;0.9
13362;13151;1.46;1.13;3;1;119;20051;3.5
13362;13151;1.46;1.13;3;1;144;20051;1.7
13362;13151;1.46;1.13;3;1;54;20051;2.1
13362;13151;1.46;1.13;3;2;85;20051;3.1
13362;13151;1.46;1.13;3;2;119;20051;2.7
13362;13151;1.46;1.13;4;2;166;20051;1.2
13362;13151;1.46;1.13;4;2;190;20051;1.4
15009;13151;1.76;1.13;2;1;139;19028;2
15009;13151;1.76;1.13;2;1;182;19028;2.4
15009;13151;1.76;1.13;2;1;196;19028;1.9
15009;13151;1.76;1.13;2;1;228;19028;0.7
15009;13151;1.76;1.13;3;1;24;19028;2.3
15009;13151;1.76;1.13;3;2;51;19028;2.2
15009;13151;1.76;1.13;3;2;87;19028;1.9
15009;13151;1.76;1.13;3;2;118;19028;1.4
15009;13151;1.76;1.13;4;2;184;19028;1.5
15009;13151;1.76;1.13;4;2;209;19028;0.7
15009;13151;1.76;1.13;1;1;24;19029;3.4
15009;13151;1.76;1.13;1;1;101;19029;2.5
15009;13151;1.76;1.13;2;1;140;19029;2.45
15009;13151;1.76;1.13;2;1;190;19029;2.3
15009;13151;1.76;1.13;2;1;18;19029;3.1
15009;13151;1.76;1.13;2;2;50;19029;3.4
15009;13151;1.76;1.13;2;2;75;19029;2.4
15009;13151;1.76;1.13;3;2;116;19029;2.5
15009;13151;1.76;1.13;3;2;141;19029;1.7
15009;13151;1.76;1.13;3;2;169;19029;1.8
15009;13151;1.76;1.13;3;2;200;19029;1.5
15009;13151;1.76;1.13;3;2;230;19029;1.5
15009;13151;1.76;1.13;3;2;262;19029;0.1
15009;13151;1.76;1.13;3;2;297;19029;0.4
15009;13151;1.76;1.13;4;2;22;19029;2.1
15009;13151;1.76;1.13;4;3;134;19029;1.2
15009;13151;1.76;1.13;4;3;165;19029;1.4
15009;13151;1.76;1.13;4;3;199;19029;1.5
15009;13151;1.76;1.13;5;3;246;19029;0.9
15009;13151;1.76;1.13;5;3;270;19029;0.9
14101;13341;1.66;1.3;2;1;160;19049;2.1
14101;13341;1.66;1.3;2;1;160;19049;2.5
14101;13341;1.66;1.3;2;1;13;19049;2.6
14101;13341;1.66;1.3;2;1;27;19049;3.1
14101;13341;1.66;1.3;2;1;59;19049;3.7
14101;13341;1.66;1.3;2;1;84;19049;2.4
14101;13341;1.66;1.3;3;1;125;19049;1.9
14101;13341;1.66;1.3;3;1;150;19049;1.7
14101;13341;1.66;1.3;3;1;178;19049;1.5
14101;13341;1.66;1.3;3;1;209;19049;0.4
14101;13341;1.66;1.3;3;1;239;19049;0.2
14101;13341;1.66;1.3;3;1;271;19049;0.1
14101;13341;1.66;1.3;3;1;9;19049;2.3
